Tarih,Saat,Lig,MBS,Ev Sahibi,Skor,Deplasman,İY,MS1,MS0,MS2,AU2.5 Alt,AU2.5 Üst,KG Var,KG Yok,IY0.5 Alt,IY0.5 Üst,AU1.5 Alt,AU1.5 Üst,Çifte Şans 1-X,Çifte Şans 1-2,Çifte Şans X-2,IY Çifte Şans 1-X,IY Çifte Şans 1-2,IY Çifte Şans X-2,IY1,IY0,IY2,2Y1,2Y0,2Y2,Tek,Çift,IY/MS 1/1,IY/MS 1/0,IY/MS 1/2,IY/MS 0/1,IY/MS 0/0,IY/MS 0/2,IY/MS 2/1,IY/MS 2/0,IY/MS 2/2,Hafta
2025-02-18,23:00:00,ŞMP,1,Benfica,3-3,Monaco,1-1,1.65,3.60,3.33,2.37,1.30,1.31,2.35,3.54,1.10,5.10,,1.05,,1.42,1.08,1.27,1.35,2.08,2.31,3.64,1.95,2.69,3.31,1.72,1.65,2.39,12.70,31.00,4.88,6.15,8.34,19.75,13.55,5.44,1838
2025-02-18,20:45:00,ŞMP,1,AC Milan,1-1,Feyenoord,1-0,1.14,5.40,8.28,2.35,1.31,1.67,1.70,3.68,1.09,4.94,,,,2.07,0,1.18,1.76,1.49,2.63,7.26,1.41,3.03,6.68,1.68,1.69,1.50,20.35,34.50,3.84,8.27,17.95,20.30,23.40,14.75,1838
2025-02-12,23:00:00,ŞMP,1,Celtic,1-2,Bayern München,0-1,5.99,4.67,1.24,2.39,1.30,1.50,1.93,3.68,1.09,5.05,,1.86,,,1.61,1.21,0,5.68,2.52,1.63,5.19,2.91,1.53,1.69,1.68,10.35,19.00,19.05,13.60,7.53,4.05,34.50,16.85,1.68,1837
2025-02-12,23:00:00,ŞMP,1,Feyenoord,1-0,AC Milan,1-0,3.70,3.45,1.59,1.97,1.47,1.45,2.00,3.06,1.16,4.01,1.07,1.45,,,1.35,1.31,1.05,4.08,2.17,2.07,3.63,2.54,1.93,1.72,1.64,6.28,14.30,21.40,8.64,5.48,4.54,34.50,13.20,2.33,1837
2025-02-12,23:00:00,ŞMP,1,Monaco,0-1,Benfica,0-0,2.21,3.13,2.41,2.01,1.44,1.36,2.21,3.09,1.16,4.17,1.05,1.16,1.07,1.20,1.16,1.33,1.19,2.69,2.14,2.88,2.47,2.49,2.63,1.76,1.62,3.44,12.00,26.00,5.84,5.15,6.23,24.70,12.10,3.80,1837
2025-02-12,20:45:00,ŞMP,1,Club Brugge,2-1,Atalanta,1-1,2.81,2.91,2.06,1.58,1.80,1.60,1.77,2.50,1.27,2.97,1.17,1.24,1.09,1.10,1.19,1.42,1.09,3.43,1.93,2.65,3.04,2.26,2.41,1.76,1.62,4.69,13.20,27.50,6.47,4.29,5.10,34.00,12.75,3.24,1837
2025-01-29,23:00:00,ŞMP,1,Aston Villa,4-2,Celtic,2-2,1.37,4.10,4.68,2.33,1.31,1.42,2.07,3.56,1.10,4.94,,,,1.66,0,1.24,1.49,1.79,2.40,4.73,1.68,2.77,4.30,1.71,1.66,1.91,14.70,34.50,4.29,6.77,11.00,19.10,16.25,7.95,1835
2025-01-29,23:00:00,ŞMP,1,Barcelona,2-2,Atalanta,0-0,1.51,3.88,3.74,3.18,1.15,1.19,2.86,4.46,,7.30,,,,1.51,1.07,1.21,1.44,1.86,2.58,3.78,1.79,2.94,3.47,1.74,1.63,2.10,12.30,30.00,5.02,7.27,9.93,17.20,13.40,6.04,1835
2025-01-29,23:00:00,ŞMP,1,Bayer Leverkusen,2-0,Sparta Prag,1-0,,8.35,16.65,3.05,1.16,1.86,1.54,4.56,,6.74,,,,2.54,0,1.09,2.21,1.25,3.27,11.60,1.20,3.79,11.05,1.68,1.69,1.22,31.00,34.50,3.91,12.60,34.50,22.55,34.50,30.50,1835
2025-01-29,23:00:00,ŞMP,1,Bayern München,3-1,Slovan Bratislava,1-0,,17.50,17.50,7.16,,1.79,1.58,8.23,,,,,,2.90,0,0,0,0,5.97,26.00,0,7.40,26.00,1.69,1.68,0,34.50,34.50,5.07,34.50,34.50,32.00,34.50,34.50,1835
2025-01-29,23:00:00,ŞMP,1,Brest,0-3,Real Madrid,0-1,6.12,4.73,1.23,2.44,1.29,1.49,1.94,3.75,1.09,5.21,,1.87,,,1.63,1.21,0,5.74,2.55,1.61,5.26,2.93,1.52,1.69,1.67,10.60,19.10,18.90,14.00,7.67,4.07,34.50,16.90,1.67,1835
2025-01-29,23:00:00,ŞMP,1,Dinamo Zagreb,2-1,AC Milan,1-0,4.83,4.23,1.34,2.32,1.32,1.44,2.03,3.54,1.10,4.88,,1.69,,,1.51,1.24,0,4.87,2.41,1.76,4.43,2.79,1.65,1.70,1.67,8.24,16.85,19.00,11.30,6.91,4.21,34.50,15.25,1.87,1835
2025-01-29,23:00:00,ŞMP,1,Borussia Dortmund,3-1,Shakhtar Donetsk,2-0,1.22,4.97,6.09,2.78,1.21,1.40,2.10,4.12,1.06,6.07,,,,1.90,0,1.18,1.66,1.58,2.67,5.60,1.50,3.07,5.19,1.69,1.68,1.63,16.95,34.50,4.16,8.41,14.40,17.85,18.95,10.35,1835
2025-01-29,23:00:00,ŞMP,1,Girona,1-2,Arsenal,1-2,5.04,3.64,1.40,1.68,1.68,1.76,1.62,2.72,1.22,3.19,1.15,1.62,,,1.43,1.33,0,5.40,2.10,1.89,4.73,2.44,1.76,1.71,1.66,9.02,17.65,23.40,10.65,5.24,3.96,34.50,15.65,2.01,1835
2025-01-29,23:00:00,ŞMP,1,Inter,3-0,Monaco,2-0,1.43,3.82,4.40,2.40,1.30,1.36,2.21,3.65,1.09,5.18,,,,1.59,0,1.24,1.47,1.82,2.41,4.45,1.74,2.75,4.02,1.73,1.64,2.00,13.30,34.50,4.54,6.45,10.65,19.30,14.80,7.40,1835
2025-01-29,23:00:00,ŞMP,1,Juventus,0-2,Benfica,0-1,1.95,2.86,3.06,1.55,1.85,1.65,1.72,2.46,1.28,2.88,1.19,1.08,1.09,1.28,1.08,1.42,1.22,2.54,1.91,3.68,2.32,2.23,3.24,1.77,1.61,3.04,12.70,34.50,4.91,4.18,6.93,27.50,13.40,5.21,1835
2025-01-29,23:00:00,ŞMP,1,Lille,6-1,Feyenoord,2-1,2.03,3.15,2.63,1.99,1.46,1.37,2.16,3.05,1.16,4.09,1.06,1.12,1.07,1.25,1.13,1.33,1.22,2.52,2.13,3.11,2.33,2.48,2.82,1.75,1.62,3.12,12.05,28.00,5.47,5.14,6.65,23.40,12.40,4.24,1835
2025-01-29,23:00:00,ŞMP,1,Manchester City,3-1,Club Brugge,0-1,1.07,6.27,10.55,2.76,1.21,1.65,1.72,4.20,1.05,6.00,,,,2.26,0,1.14,1.93,1.37,2.91,8.37,1.31,3.33,7.78,1.69,1.68,1.37,22.55,34.50,3.95,9.80,23.00,20.25,26.50,18.75,1835
2025-01-29,23:00:00,ŞMP,1,PSV Eindhoven,3-2,Liverpool,3-2,2.00,3.27,2.62,2.39,1.30,1.26,2.53,3.55,1.10,5.23,,1.12,1.06,1.26,1.15,1.28,1.24,2.42,2.28,2.98,2.26,2.63,2.75,1.76,1.61,3.00,11.55,25.50,5.72,5.73,6.99,21.65,11.90,4.11,1835
2025-01-29,23:00:00,ŞMP,1,Salzburg,1-4,Atletico Madrid,0-3,5.87,4.05,1.30,1.87,1.53,1.70,1.66,3.03,1.16,3.70,1.09,1.76,,,1.52,1.28,0,5.88,2.27,1.73,5.22,2.61,1.63,1.70,1.66,10.50,18.80,22.10,12.60,5.99,3.92,34.50,16.45,1.80,1835
2025-01-29,23:00:00,ŞMP,1,Sporting Lisbon,1-1,Bologna,0-1,1.58,3.22,4.12,1.55,1.84,1.77,1.61,2.49,1.27,2.86,1.19,,1.05,1.46,0,1.39,1.32,2.14,1.96,4.72,1.96,2.30,4.10,1.72,1.65,2.36,14.50,34.50,4.16,4.56,8.72,25.50,15.95,7.32,1835
2025-01-29,23:00:00,ŞMP,1,Sturm Graz,1-0,RB Leipzig,1-0,3.38,3.40,1.67,2.07,1.42,1.39,2.13,3.18,1.15,4.31,1.05,1.40,,,1.32,1.30,1.07,3.75,2.20,2.14,3.37,2.56,2.00,1.73,1.64,5.62,13.55,21.15,8.15,5.55,4.79,33.50,12.60,2.46,1835
2025-01-29,23:00:00,ŞMP,1,Stuttgart,1-4,Paris SG,0-3,3.30,2.45,2.10,1.69,1.68,1.44,2.02,2.77,1.21,3.47,1.11,1.23,1.16,1.05,1.24,1.37,1.09,3.50,2.04,2.42,3.16,2.21,2.38,1.93,1.49,5.36,10.35,28.00,8.16,3.87,5.92,34.50,9.63,3.09,1835
